timestamp,x,y,z,yaw,pitch
1776755513.0717866,-2144.3556616691153,530.2775195159286,6670.186604183141,26.074707,-18.30007
1776755513.102466,-2144.6546008862983,528.771739842969,6670.850417395653,26.074707,-18.30007
1776755513.2254298,-2144.6546008862983,528.771739842969,6670.850417395653,26.074707,-18.30007
1776755513.3345268,-2144.9161836460803,528.1478496715313,6671.392223141014,26.074707,-18.30007
1776755513.4412236,-2145.164543587485,527.6825455139793,6671.90340612225,26.074707,-18.30007
1776755513.5811195,-2145.164543587485,527.6825455139793,6671.90340612225,26.074707,-18.30007
1776755513.6426642,-2145.5583965901533,527.0832267012563,6672.711569527998,26.074707,-18.30007
1776755513.7670228,-2145.779388665041,526.796191965392,6673.164361057164,26.074707,-18.30007
1776755513.8752768,-2145.895332083873,526.6562376412562,6673.401800117276,26.074707,-18.30007
1776755513.985674,-2146.263007673885,526.2512709264973,6674.154390624252,24.87471,-16.800074
1776755514.094687,-2146.3911038104334,526.1214551039465,6674.4183124146775,24.87471,-16.800074
1776755514.187921,-2146.779420006338,525.7372421839194,6675.2654064069575,19.62472,-2.2500741
1776755514.2982206,-2147.1749697118867,525.3454174484098,6676.2022893476005,19.62472,-2.2500741
1776755514.4516518,-2147.309442070547,525.2135666176096,6676.533999419654,19.62472,-2.2500741
1776755514.5212984,-2147.5833725496364,524.9486834085092,6677.225732400216,19.62472,-2.2500741
1776755514.6224744,-2148.1545577206466,524.4165094012635,6678.71873819787,19.62472,-2.2500741
1776755514.731381,-2148.4531634566474,524.1500864137878,6679.517961784715,19.62472,-2.100074
1776755514.8402631,-2148.74904983528,523.8681559348383,6680.355242835115,10.624726,21.449926
1776755514.9643881,-2148.9910947181565,523.4837616059875,6681.227190571281,-2.1252744,42.899937
1776755515.0563028,-2149.175233396699,522.9822520320863,6682.135924731649,-2.1252744,42.899937
1776755515.1796474,-2149.3670933645803,522.0456037257709,6683.58414412366,-2.1252744,42.899937
1776755515.2724469,-2149.4511834599853,521.3180664160443,6684.616076050441,-2.1252744,42.899937
1776755515.382387,-2149.5078492625744,520.5214224449877,6685.707878432714,-2.1252744,42.899937
1776755515.521408,-2149.542108808463,519.6653404146736,6686.864351824447,-2.1252744,42.899937
1776755515.6301734,-2149.559956376869,518.2876392541426,6688.728842534916,-2.1252744,42.899937
1776755515.7246616,-2149.5504501007636,517.3168441482588,6690.062840118564,-2.1252744,42.899937
1776755515.8325925,-2149.5299258683854,516.3109761888841,6691.472386350326,-2.1252744,42.899937
1776755515.9262817,-2149.500014309525,515.2749423626593,6692.959205485045,-2.1252744,42.899937
1776755516.0353248,-2149.462014506983,514.2129631276001,6694.524543300489,-2.1252744,42.899937
1776755516.1438441,-2149.4169634724544,513.1286684642151,6696.169234990535,-2.1252744,42.899937
1776755516.2536511,-2149.3656910736854,512.0251804882657,6697.893765233907,-2.1252744,42.899937
1776755516.3791885,-2149.2785384519743,510.33973094937426,6700.630596306614,-2.1252744,42.899937
1776755516.470978,-2149.206798323433,509.2205193910309,6702.5639616553035,-5.275276,34.349934
1776755516.5937095,-2148.971139117338,508.20826497126114,6704.5880584532415,-29.725279,20.099936
1776755516.6858432,-2148.516438583498,507.3083438463549,6706.663682761657,-29.725279,20.099936
1776755516.7945087,-2147.88766342024,506.49811798023904,6708.780532344234,-29.725279,20.099936
1776755516.918098,-2147.119359374707,505.75951148093026,6710.932447005193,-29.725279,20.099936
1776755517.0117514,-2145.762296434499,504.7551277904597,6714.218108070009,-29.725279,20.099936
1776755517.1373239,-2144.7500584196882,504.1386237138602,6716.443790985972,-29.725279,20.099936
1776755517.2290978,-2143.6694326264815,503.5546991017437,6718.695939610728,-29.725279,20.099936
1776755517.3392994,-2142.5319992500476,502.9967883575691,6720.9735053661625,-29.725279,20.099936
